name,path,group
B2_102,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_102.jpg,B
B2_33,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_33.jpg,B
B1_84,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_84.jpg,B
B1_54,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_54.jpg,B
B2_52,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_52.jpg,B
B2_20,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_20.jpg,B
B2_15,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_15.jpg,B
B1_86,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_86.jpg,B
B1_24,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_24.jpg,B
A2_86,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_86.jpg,A
B2_62,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_62.jpg,B
B2_18,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_18.jpg,B
B2_38,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_38.jpg,B
A1_70,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_70.jpg,A
B1_36,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_36.jpg,B
A1_44,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_44.jpg,A
B2_66,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_66.jpg,B
B2_23,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_23.jpg,B
A2_79,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_79.jpg,A
A2_35,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_35.jpg,A
B2_100,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_100.jpg,B
B2_53,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_53.jpg,B
B2_69,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_69.jpg,B
A1_49,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_49.jpg,A
B2_26,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_26.jpg,B
A2_88,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_88.jpg,A
A1_40,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_40.jpg,A
B2_2,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_2.jpg,B
B1_97,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_97.jpg,B
A1_86,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_86.jpg,A
B2_13,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_13.jpg,B
B1_51,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_51.jpg,B
A2_39,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_39.jpg,A
A2_52,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_52.jpg,A
A2_77,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_77.jpg,A
A1_61,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_61.jpg,A
A2_56,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_56.jpg,A
B2_22,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_22.jpg,B
B2_71,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_71.jpg,B
A2_16,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_16.jpg,A
B1_9,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_9.jpg,B
A2_40,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_40.jpg,A
B2_8,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_8.jpg,B
B1_59,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_59.jpg,B
B2_88,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_88.jpg,B
A2_51,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_51.jpg,A
A2_41,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_41.jpg,A
A2_65,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_65.jpg,A
A1_77,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_77.jpg,A
B1_101,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_101.jpg,B
B1_81,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_81.jpg,B
A2_60,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_60.jpg,A
B1_72,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B1/B1_72.jpg,B
A2_34,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_34.jpg,A
A2_1,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A2/A2_1.jpg,A
A1_22,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/A1/A1_22.jpg,A
B2_84,/Users/kayivionachan/Documents/GitHub/CAN7035 Machine Learning AI /cubed/B2/B2_84.jpg,B
